"horizon","inflation","shadow_rate","real_rate"
0,0.0919829518700963,0.25,0.158017048129904
1,0.0618231475037187,0.241796881622823,0.179973734119104
2,0.0416665544994975,0.233207410199552,0.191540855700055
3,0.0281905584240626,0.224489291244038,0.196298732819975
4,0.019176367512354,0.215809237324359,0.196632869812005
5,0.0131422977825221,0.207273421601918,0.194131123819396
6,0.009098889485867,0.198947804690517,0.18984891520465
7,0.0063853796341128,0.190871699545027,0.184486319910914
8,0.00456050218705159,0.183066821236839,0.178506319049787
9,0.00332956696483271,0.175543321998636,0.172213755033804
10,0.00249576463372577,0.16830381344361,0.165808048809884
11,0.00192764929076078,0.161346044993438,0.159418395702677
12,0.00153742406677485,0.154664685266754,0.153127261199979
13,0.00126644073046221,0.148252504745283,0.146986064014821
14,0.00107551663268286,0.142101158914384,0.141025642281701
15,0.000938468557778449,0.136201704884871,0.135263236327092
16,0.000837794750476642,0.130544940303568,0.129707145553091
17,0.000761791444838431,0.125121623845111,0.124359832400273
18,0.000702627320929305,0.119922616868653,0.119219989547723
19,0.000655057644136416,0.114938972662416,0.114283915018279
20,0.000615565570567171,0.110161990911084,0.109546425340517
21,0.00058178870495975,0.105583249152986,0.105001460448026
22,0.000552136144543289,0.101194619075929,0.100642482931386
23,0.000525532725940349,0.0969882728844532,0.0964627401585128
24,0.000501248216244007,0.0929566832246919,0.0924554350084479
25,0.000478783228758691,0.0890926189870354,0.0886138357582767
26,0.000457793019044958,0.0853891385284777,0.0849313455094328
27,0.00043803657741362,0.0818395813371262,0.0814015447597125
28,0.000419342614632991,0.0784375588147831,0.0780182162001501
29,0.000401586829332394,0.0751769446223776,0.0747753577930452
30,0.000384676709830411,0.0720518648789468,0.0716671881691164
31,0.000368541368016648,0.0690566884022456,0.068688147034229
32,0.000353124734231945,0.0661860171107789,0.065832892376547
33,0.0003383809972265,0.0634346766617017,0.0630962956644752
34,0.000324271543982236,0.060797707368973,0.0604734358249907
35,0.000310762901736235,0.058270355426302,0.0579595925245658
36,0.000297825349851453,0.0558480644463825,0.055550239096531
37,0.000285431979571783,0.0535264673194028,0.053241035339831
38,0.000273558053415923,0.0513013783883384,0.0510278203349225
39,0.000262180565192233,0.0491687859350514,0.0489066053698592
40,0.000251277934490823,0.0471248449690833,0.0468735670345924
41,0.000240829791462569,0.0451658703097676,0.0449250405183051
42,0.000230816822355589,0.043288329951611,0.0430575131292554
43,0.000221220656070747,0.0414888387025982,0.0412676180465275
44,0.000212023778536745,0.0397641520850318,0.0395521283064951
45,0.000203209466072748,0.0381111604886309,0.0379079510225582
46,0.000194761731823653,0.036526883565828,0.0363321218340044
47,0.000186665281301812,0.0350084648594813,0.0348217995781794
48,0.000178905474371049,0.03355316665353,0.033374261179159
49,0.000171468291878855,0.0321583650374533,0.0319868967455745
50,0.000164340305724339,0.0308215451757277,0.0306572048700034
51,0.000157508651538483,0.0295402967738197,0.0293827881222812
52,0.000150961003413629,0.0283123097325801,0.0281613487291665
53,0.000144685550293494,0.0271353699832348,0.0269906844329414
54,0.000138670973752024,0.0260073554954801,0.025868684521728
55,0.000132906426968019,0.024926232451498,0.02479332602453
56,0.000127381514755428,0.0238900515790037,0.0237626700642483
57,0.000122086274545098,0.0228969446367162,0.0227748583621711
58,0.000117011158238109,0.0219451210459216,0.0218281098876835
59,0.000112147014867562,0.0210328646620578,0.0209207176471903
60,0.000107485074017234,0.0201585306805001,0.0200510456064829
61,0.000103016929953644,0.0193205426709718,0.0192175257410181
62,9.87345264338501e-05,0.0185173897352321,0.0184186552087983
63,9.46301421555434e-05,0.0177476237829187,0.0176529936407632
64,9.06963768191644e-05,0.0170098569206312,0.016919160543812
65,8.69261377742101e-05,0.0163027589495511,0.0162158328117769
66,8.33126272238573e-05,0.0156250549670844,0.0155417423398606
67,7.98493299636268e-05,0.0149755230682038,0.0148956737382402
68,7.65300016311776e-05,0.0143529921423454,0.0142764621407142
69,7.33486574455113e-05,0.0137563397618886,0.0136829911044431
70,7.0299561414922e-05,0.0131844901584112,0.0131141905969963
71,6.73772159939969e-05,0.0126364122830716,0.0125690350670776
72,6.45763521708577e-05,0.0121111179476203,0.0120465415954495
73,6.18919199666646e-05,0.0116076600426901,0.0115457681227235
74,5.9319079330181e-05,0.0111251308301507,0.0110658117508206
75,5.6853191410935e-05,0.010662660306451,0.0106058071150401
76,5.44898101952116e-05,0.0102194146339962,0.010164924823801
