"date","3m","60m","120m"
1968-10-01,-0.0565999301064801,0.0465167501603721,0.0668410630745897
1968-11-01,-0.0565641428830286,0.0466670142068767,0.0659419216963004
1968-12-01,-0.055930654246028,0.0510718980416647,0.0705295106703284
1969-01-01,-0.0558089451664913,0.0507523265911917,0.0693184960793436
1969-02-01,-0.0559032199523286,0.0501795167157271,0.0677317530170045
1969-03-01,-0.0560250936833406,0.0495181045541443,0.0663258961988927
1969-04-01,-0.0559385029744444,0.0491598927245674,0.0662158907775492
1969-05-01,-0.0560156478886261,0.0504360298685623,0.0676445544495395
1969-06-01,-0.0556964989653139,0.0498886964012369,0.0651283454946897
1969-07-01,-0.0554417389672797,0.048223685172786,0.0602401769371892
1969-08-01,-0.0555648123029809,0.0470021419751762,0.0578616923907426
1969-09-01,-0.0553241091750895,0.0532939119564525,0.0685098646987097
1969-10-01,-0.0553060087465135,0.0544545654884856,0.0712926248488335
1969-11-01,-0.0551944329537324,0.0532943527395944,0.0688124548635815
1969-12-01,-0.0548905869439488,0.057542422817373,0.076223462741556
1970-01-01,-0.0548299578970712,0.0602715439373126,0.0814324875305539
1970-02-01,-0.0550331246063547,0.0600584817934588,0.0819248748534407
1970-03-01,-0.0553213908223683,0.057566965685265,0.0785156486308951
1970-04-01,-0.0553026567112328,0.0600271967175678,0.0827053809189045
1970-05-01,-0.0551386348524971,0.0612119242125622,0.0836904688143986
1970-06-01,-0.05526677810699,0.0604723765138232,0.0823605971997405
1970-07-01,-0.0554216036231563,0.059950372294477,0.082065071563569
1970-08-01,-0.0553830716123599,0.0607626327938823,0.0838791173486884
1970-09-01,-0.0555454870840779,0.0599427572859817,0.0829895438502722
1970-10-01,-0.0557508020648381,0.0590429138591142,0.0817604727056841
1970-11-01,-0.0564669018686358,0.0565727124434029,0.0793682400672536
1970-12-01,-0.0572113995966995,0.0533308033292136,0.0755097840158145
1971-01-01,-0.0579929135344914,0.0546084055867229,0.078508002537817
1971-02-01,-0.0599041441402744,0.0543689629872337,0.0799731743474845
1971-03-01,-0.0615621995280413,0.04880612989228,0.0731621930834763
1971-04-01,-0.0599803921121186,0.0515059612926206,0.0745960567506531
1971-05-01,-0.0593964111081558,0.0531044986709535,0.074880618346828
1971-06-01,-0.0577145680582903,0.0544008774219685,0.075681391300838
1971-07-01,-0.0564961604938395,0.056694657357045,0.0783211922578057
1971-08-01,-0.0583444338741441,0.0494878808408811,0.0662515731518972
1971-09-01,-0.0590952975729659,0.0463613203851607,0.0633589941361145
1971-10-01,-0.0600731082419319,0.0444791758180252,0.0618339645946866
1971-11-01,-0.0606524716878195,0.0448202806554523,0.0633737875270584
1971-12-01,-0.060983893059061,0.0456096961946928,0.06508031721092
1972-01-01,-0.0640357371279835,0.0446720357006962,0.0648831179641725
1972-02-01,-0.0652621423947491,0.0451112705675186,0.0654436857433461
1972-03-01,-0.062878264966208,0.0453188010925596,0.0641763314976018
1972-04-01,-0.0634874425507691,0.0451113810123786,0.0626855101258491
1972-05-01,-0.0633891775077921,0.044296935697581,0.0627055144692927
1972-06-01,-0.0621452008712946,0.0444172119673618,0.062177512053963
1972-07-01,-0.0623514340206795,0.0432289357688157,0.0596883049060723
1972-08-01,-0.061885547739356,0.0451200195032641,0.0626290535615073
1972-09-01,-0.0587706385778911,0.0493127008750159,0.0680341643257833
1972-10-01,-0.0587916807970301,0.04771369170206,0.0652686267625076
1972-11-01,-0.0586281818344264,0.0472184919129667,0.0649364857267149
1972-12-01,-0.057719526528643,0.048180265934549,0.0662884498599471
1973-01-01,-0.0570086222647115,0.0484261392202561,0.0657257815518297
1973-02-01,-0.0566494495674813,0.0499295538261498,0.067297568311065
1973-03-01,-0.0559993831434997,0.0499187220175646,0.0662237581634822
1973-04-01,-0.0558003272721022,0.0497986826697564,0.0664424222098315
1973-05-01,-0.0556468780101228,0.0514747172724962,0.0693553910315775
1973-06-01,-0.0550697043695025,0.0524608226414012,0.0710853637615664
1973-07-01,-0.054793499381036,0.0545773143680045,0.0730317101814666
1973-08-01,-0.0546765561555599,0.056842487795017,0.0769038409590223
1973-09-01,-0.0547148925251101,0.0554398154738724,0.0758049811047526
1973-10-01,-0.0549479679440673,0.0541928775516951,0.0749751220988972
1973-11-01,-0.0547949634610473,0.054761558479816,0.0755982539078396
1973-12-01,-0.0548753938813589,0.0544082786064704,0.075471471429996
1974-01-01,-0.0547619284123989,0.0571506833210545,0.0801331913961571
1974-02-01,-0.0548749181099813,0.0580383388251818,0.0824144503736444
1974-03-01,-0.0547142884358025,0.0594711901505383,0.083688475916951
1974-04-01,-0.0546739339019759,0.060641273995941,0.0846576759356557
1974-05-01,-0.0546924724499741,0.0605810790471003,0.0840715858649589
1974-06-01,-0.0547364873401027,0.0601567903387344,0.0833822945398094
1974-07-01,-0.0548520068818213,0.0598507590317114,0.0821064703959738
1974-08-01,-0.0546235654875385,0.0630944315575999,0.0882253997715683
1974-09-01,-0.0546830386386241,0.0628403184182346,0.0881201151397637
1974-10-01,-0.0548211155683557,0.0607412739828061,0.0847504524266889
1974-11-01,-0.0548131294767541,0.0603926283864919,0.0848256385067082
1974-12-01,-0.0548931471903837,0.0594353915432559,0.083790769406834
1975-01-01,-0.0552999344400754,0.059066365760749,0.0832736326669961
1975-02-01,-0.0558621467958838,0.0592485999446383,0.0847593391403418
1975-03-01,-0.0558460686861872,0.0601965380047306,0.0860758179024618
1975-04-01,-0.0557897705328633,0.0615919551202561,0.0869486949543669
1975-05-01,-0.0562884711722287,0.0610720909318046,0.0867432294449907
1975-06-01,-0.0560769005458936,0.0606241295534173,0.0862730340508605
1975-07-01,-0.0554062853013249,0.0610123898930226,0.0857276429273904
1975-08-01,-0.055244819453958,0.0618077349377884,0.0863506770393274
1975-09-01,-0.0552471215244083,0.0623786959187871,0.087277174920135
1975-10-01,-0.0554965125129607,0.0624240008276247,0.088252692955369
1975-11-01,-0.0558117647593313,0.0624881851229916,0.0888962759276042
1975-12-01,-0.0559200196007641,0.0617022357393055,0.087304289319954
1976-01-01,-0.0567098066178036,0.0611531841107488,0.0872752061756952
1976-02-01,-0.0567608195662861,0.0610285992044135,0.0868401048686604
1976-03-01,-0.0567097337563795,0.0602570745074877,0.085101369095119
1976-04-01,-0.0569814999439028,0.0595884971446777,0.0845309581219228
1976-05-01,-0.05636056974461,0.0606788043638727,0.0854923639378484
1976-06-01,-0.056096765014224,0.0607195039255274,0.0854612373589274
1976-07-01,-0.05620613500239,0.0610467245323674,0.0864878002669304
