"date","r_star","pi_star","w","shadow_rate","effective_federal_funds_rate"
1968-10-01,0.59266148835971,4.64091756568865,-1.23126516625372,5.32487594976819,5.91
1968-11-01,1.05278255020787,4.02523319977138,-1.24242997477536,5.44164834535787,5.82
1968-12-01,2.0269666980022,3.00911283738704,-1.31732877994494,5.88498842140009,6.02
1969-01-01,2.03209728735557,2.90219937829584,-1.21236736175098,6.08306017704692,6.3
1969-02-01,1.99296310129958,2.80891918966907,-0.911496467988446,6.02193627722489,6.61
1969-03-01,1.88152612725396,2.80969640901062,-0.605238630752428,5.83880955722928,6.79
1969-04-01,1.86730167718933,2.87520779497828,-0.858039791726234,5.96093435956345,7.41
1969-05-01,1.89713660240362,2.84481471735281,-0.51950759344588,5.84213447176,8.67
1969-06-01,1.73735264544604,2.79080402555975,-0.12203935033779,6.20951812408646,8.9
1969-07-01,1.48800733558254,2.73233174019003,0.373806107116195,6.66028152526555,8.61
1969-08-01,1.44166222942107,2.66557737156308,0.538342388791684,6.59620411764253,9.19
1969-09-01,1.69238476196128,2.82775839424648,0.644124005842331,6.63354822602845,9.15
1969-10-01,1.77170009976885,2.93886363227813,0.377981708704065,6.5840928941939,9
1969-11-01,1.65090773973947,2.92706820756218,0.393220436029244,6.86461633389474,8.85
1969-12-01,1.95893991808353,3.01641161489931,0.0162340504619157,7.482140677164,8.97
1970-01-01,2.16981605967814,3.13828532112543,-0.1149644910019,7.52740317735571,8.98
1970-02-01,2.21295876904722,3.17005492474976,-0.132935187723509,6.78580031905206,8.98
1970-03-01,2.20019211057828,3.03224659239571,-0.42073586940916,6.34163876195968,7.76
1970-04-01,2.34672938860879,3.13138555505289,-0.256902805495227,6.16223812030057,8.1
1970-05-01,2.32840353241679,3.09814800726097,0.281590103864018,6.41189568743755,7.95
1970-06-01,2.31366181131941,3.00587193924903,0.37158103985882,6.19987301039118,7.61
1970-07-01,2.349076343736,3.00890644920328,0.132305143948431,6.00255177245607,7.21
1970-08-01,2.46972682248228,3.05594333097727,-0.107218316854619,6.0046232148275,6.62
1970-09-01,2.46555408968029,3.04354199026781,-0.30404590770308,5.78354722429969,6.29
1970-10-01,2.394946540587,3.05170402014334,-0.30580106500618,5.55541394534879,6.2
1970-11-01,2.35934474298874,3.07525923987161,-0.766073912160842,4.99813484480486,5.6
1970-12-01,2.23867128988061,3.06244112934419,-1.02527960061241,4.66152964069533,4.9
1971-01-01,2.43116952613297,3.10148099904552,-1.17501733006924,4.20454302439565,4.14
1971-02-01,2.63797670157844,3.10114138053128,-1.48974807690608,3.5287254963266,3.72
1971-03-01,2.4084487845173,3.01643880172865,-1.64507840305994,3.3126733219423,3.71
1971-04-01,2.35678704763091,2.9529305515361,-0.970181182170072,3.64118537343723,4.16
1971-05-01,2.23400501971027,2.90913511607623,-0.140099659329644,3.73641492247841,4.63
1971-06-01,2.16053279787129,2.9749695788801,-0.0686147746140767,4.31497179361259,4.91
1971-07-01,2.24700791618241,2.99469366867473,-0.100460289844408,4.96759472193299,5.31
1971-08-01,2.10070398013054,2.44158435743106,0.361364514292642,4.45306581127922,5.57
1971-09-01,1.72171736968577,2.84763440733178,0.12021030675906,4.26542460960929,5.55
1971-10-01,1.78573596312777,2.78733835888787,-0.146203492376128,4.04852418505379,5.2
1971-11-01,1.90700736662878,2.77868215493971,-0.364535536755104,3.86010091220716,4.91
1971-12-01,1.90032598458416,2.88572689815752,-0.38880994283085,3.69610386124778,4.14
1972-01-01,1.86390480860928,2.92795620882785,-0.0898840179575902,2.9820214366897,3.51
1972-02-01,1.81152107509618,2.97113557580129,0.228667015266882,2.68089622933466,3.3
1972-03-01,1.68386811840432,2.98388310342438,0.340251294930415,3.21433764977115,3.83
1972-04-01,1.53779282341481,2.97308666828456,0.912361773638991,3.0914393593671,4.17
1972-05-01,1.58992499361571,3.02223052510488,0.442575825450972,3.13765978164877,4.27
1972-06-01,1.55095005103112,3.01831401518927,0.423270337771213,3.41534778427592,4.46
1972-07-01,1.4930422482041,2.92654940399985,0.647212416813129,3.4345615419654,4.55
1972-08-01,1.57572019739689,2.97141662590902,0.562029006357851,3.4709439204617,4.81
1972-09-01,1.62388931257494,3.15982788948606,0.276499231181505,4.17669217206556,4.87
1972-10-01,1.55001953054488,3.09431876113295,0.331497582406785,4.27316039723238,5.05
1972-11-01,1.57394507264549,3.09781843559449,0.0946720004505374,4.34438847408723,5.06
1972-12-01,1.52905868605794,3.22667875521102,-0.0834408364036545,4.69716394919222,5.33
1973-01-01,1.33352054955802,3.36790579654311,0.0831653975015499,5.04445795027129,5.94
1973-02-01,1.23202774246359,3.4976185513345,0.343740811340755,5.172095439185,6.58
1973-03-01,0.971889895575431,3.69000967745556,0.47889904948853,5.67839077318947,7.09
1973-04-01,0.87571974988925,3.85909511588025,0.237873200980142,5.9083523684215,7.12
1973-05-01,0.864491166557895,4.0302774717321,0.160925454439297,6.03519555773994,7.84
1973-06-01,0.839481487685183,4.23238293751729,-0.533038404475535,7.02174846135062,8.49
1973-07-01,0.663075575192824,4.43462796858567,-0.246995300993403,7.94661360157456,10.4
1973-08-01,0.461318629957129,4.91831749469068,-0.487321761692645,8.57012204675059,10.5
1973-09-01,0.490025658661832,4.94242067627414,-0.990959179743983,8.36098968672573,10.78
1973-10-01,0.447197080157335,4.97305889099084,-0.76896038626555,7.19165883299133,10.01
1973-11-01,0.453900642741967,5.01445280479616,-1.03096581671405,7.83126928636083,10.03
1973-12-01,0.447917624291468,5.03161054196923,-0.99581512662595,7.46077656607676,9.95
1974-01-01,0.459049587545877,5.35656626017957,-1.2777376854442,7.80173120358368,9.65
1974-02-01,0.458900082041363,5.56180720524872,-1.24846152665911,7.1184952189303,8.97
1974-03-01,0.386134967826003,5.65700619319611,-1.10481287454185,7.94523642665705,9.35
1974-04-01,0.137986016361699,5.87614572675556,-0.418583757320998,8.25446713264187,10.51
1974-05-01,-0.0351467527576805,5.93721726548815,0.153370522693714,8.00043050371535,11.31
1974-06-01,0.010489161652941,5.82390726895745,0.294545592179999,7.63948580861034,11.93
1974-07-01,-0.0944335173928758,5.7065433789876,1.16648579982501,7.08209936306006,12.92
1974-08-01,0.189697364483341,6.04435562261914,-0.0681951749288112,8.69254635133469,12.01
1974-09-01,0.221093845391188,5.99565515380737,0.145428573777013,7.8057567691085,11.34
1974-10-01,0.199697806267002,5.7299378074406,0.313278307649364,7.09343880763981,10.06
