"parameter","baseline","omit_2020"
"rho_r_star",0.99271704923277,0.99296701866881
"rho_pi_star",0.998605523938608,0.998606976635731
"rho_w",0.930398260957175,0.931574386839029
"liquidity_spread_gfc",0.813732781251588,0.79014572716642
