"object","mean_absolute_difference_full","mean_absolute_difference_since_2019"
"r_star",0.0716325818310858,0.265660725075027
"pi_star",0.0130321577991656,0.0525025087024344
"nominal_tp_10y",0.028001056608218,0.0859444358651148
"real_tp_10y",0.0180195101696589,0.0195760311709262
"inflation_rp_10y",0.0140482306663701,0.0739011096538536
