"","rho_r_star","sigma_r_star","rho_pi_star","sigma_pi_star","cyclical_raw_1","cyclical_raw_2","cyclical_raw_3","cyclical_raw_4","sigma_pi_gap","impact_pi_m_ratio","liquidity_spread_gfc","measurement_sigma_inf","measurement_sigma_ptr","measurement_sigma_inflation_survey","measurement_sigma_tbill_survey","measurement_sigma_nominal_yield","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w","sigma_wpi"
"measurement_sigma_nominal_yield",-93.563642611672,-749.278045270851,-67847.8528211809,-129659.328775781,-2976.84244309395,22123.457129034,-25598.4219216523,-34799.1777676234,-42734.0216294017,1240.60306003451,6009.57480871581,2374.62894853042,689.552410110327,482.41824169275,415.030668981839,35192.0887648104,103678.668200525,81316.9215458718,26918.7282100224,-7337.77577399868,-6895.8038834396,51321.0455954857,-41858.8396631307,-26279.3925253859,-20617.3199161993,21125.1364820582,16611.640260003,-3208.29033898466,5896.805934852,21752.9790045255,-2332.91748691239,-500753.590508463
"lambda0_eps_r_star",-108951.809779186,-191246.010723714,-590897.429130489,-1049519.55682317,27617.4250257848,2950668.16362724,-5640321.94901398,-413781.846620739,-637763.594933834,-5948.7865752941,10167.8189300549,6440.90639589604,1569.79957883217,-2845.09846851654,1571.58359115372,103678.668200525,5795005.36202463,4572725.02138792,2128922.96760068,428487.867376499,156405.589240303,4421106.32993627,-2893725.83141374,-2533338.3504339,-872396.570851946,-365188.837316457,-192625.842150858,-2417000.57936187,380370.40513992,150408.60877555,-284534.761231798,-27336134.7058541
"lambda0_eps_pi_star",-59286.1061818239,-89944.7455652098,-1992228.616729,-3831003.86600864,42240.7559168192,1739189.54958457,-3381666.1034566,-1853363.16452389,-1987124.12738043,-28788.2251462234,-23004.1404070609,-1240.05233353152,6116.08660880448,1797.25003016834,417.668741800125,81316.9215458718,4572725.02138792,6391616.0305842,1286479.91185935,1125544.68363247,686716.485650023,4314119.88867381,-2594471.14226654,-4957013.69309165,-414608.937623093,-987767.487986483,-643799.51816421,-2793865.84806217,334741.192645366,-160864.695535717,-302607.613622801,-23381825.4577029
"lambda0_eps_m",-69375.5891448445,-122169.732584951,-105403.916252634,-152886.241034638,23720.2356019256,1820544.92170161,-3407764.6716192,-43146.4819520578,-137034.502830396,8621.59108363607,12911.237356681,2209.401843984,-827.38804149734,-2078.50661631305,-694.264244908767,26918.7282100224,2128922.96760068,1286479.91185935,1180725.09162764,8236.84328746146,-80390.2593908541,1666665.43385816,-1096585.15690339,-479493.60491331,-500168.821308274,54796.7888202079,74196.6594390301,-762155.85671851,188950.495378241,-33866.6862647477,-93790.4244276523,-11436799.3850003
"lambda0_eps_pi_gap",-82.8822171271494,8834.04429632724,-678699.472107932,-1351680.51303141,13953.2716256687,77004.4215972678,-184067.025183172,-645075.672263579,-676473.091146542,-11524.0659435367,-16941.6305921386,-2913.87382518812,1318.82838224758,847.990195596389,436.745221377279,-7337.77577399868,428487.867376499,1125544.68363247,8236.84328746146,390484.995911871,272280.420480723,761016.794940793,-358788.561517803,-1102934.56170805,72606.1956272626,-355629.591129831,-252651.889229368,-611115.05161732,38824.5699424323,-161140.413593173,-54455.9764990994,-3230490.72036251
"lambda0_eps_u",5110.26411246607,15270.6294841707,-463900.237177617,-928665.766935976,7766.88546799513,-80456.8972159966,122011.325756934,-443529.061133695,-459953.791755136,-8757.69058844897,-12864.1573524742,-2167.64238839767,983.319471473481,731.530218801691,401.131273188289,-6895.8038834396,156405.589240303,686716.485650023,-80390.2593908541,272280.420480723,196459.2846771,416891.691004391,-174513.431566927,-725447.581644056,87363.1155006608,-253255.809656718,-182713.914715371,-375265.087842631,13205.5345817244,-107783.458379641,-31635.0963583745,-1463138.91739127
"lambda0_eps_w",-89880.0080635132,-144859.694295796,-1400874.34240803,-2704116.19381255,46537.0272753691,2547499.12748182,-4856329.86743519,-1209720.62275901,-1422460.78059996,-12850.5238390572,-13271.895240354,-346.800280867629,2387.24509495707,-999.801783764396,963.221512497157,51321.0455954857,4421106.32993627,4314119.88867381,1666665.43385816,761016.794940793,416891.691004391,4073152.18453998,-2428713.65898444,-2871332.55986767,-577732.925893564,-625482.844696309,-395597.502606036,-2396162.53650967,344620.432572267,-201153.297940686,-259403.886068486,-23909393.0798942
"lambdaw_eps_r_star",49607.8087529316,57733.086168231,325659.599105382,590158.666448037,-8743.69078500983,-1463811.5943683,2824124.72358524,316990.173729363,415365.415140003,6488.19141419177,-5600.08074715885,-2285.8677971969,-1696.73541806993,-1050.19959019282,-510.742781487174,-41858.8396631307,-2893725.83141374,-2594471.14226654,-1096585.15690339,-358788.561517803,-174513.431566927,-2428713.65898444,2195584.26501182,2181719.08024105,515850.701237397,351979.414191791,209294.553135993,1812014.69147548,-100107.858225317,256993.228404801,169646.74675127,11334905.618751
"lambdaw_eps_pi_star",56070.0720484056,68733.682993472,-77311.1372350778,-207149.478449512,-51367.6156810184,-979715.941574235,2320284.46595747,244850.186053413,271104.630020979,49673.514873994,38801.711188124,6063.83835037165,2367.53730655432,2685.92817921902,3342.1411167224,-26279.3925253859,-2533338.3504339,-4957013.69309165,-479493.60491331,-1102934.56170805,-725447.581644056,-2871332.55986767,2181719.08024105,5941359.56255239,-185402.075496996,1387024.27859139,964265.398928298,2721626.54948518,-40452.9612216889,527876.170199294,236932.636061018,9028564.23973927
"lambdaw_eps_m",-20249.1655406246,-58482.7792082111,521376.562399469,1015796.01177971,31070.2614192505,70536.8064107609,-279720.333832428,377861.864594064,424636.167786411,-8117.84824909511,-14350.8787524172,-2320.24348367447,-3600.40677978831,-1383.02476545621,-1834.21132663071,-20617.3199161993,-872396.570851946,-414608.937623093,-500168.821308274,72606.1956272626,87363.1155006608,-577732.925893564,515850.701237397,-185402.075496996,677966.750321334,-196266.148604118,-192316.386947922,433581.465148082,-11972.7511397524,-85239.1062604404,51794.3882636376,2661958.9146846
"lambdaw_eps_pi_gap",14237.5937242654,15215.9163789222,-471846.079239219,-925616.1255524,-12885.5725409675,-17424.5403124254,264090.439088828,-271992.672332213,-280814.759956375,22582.1475269315,24053.8933403024,4228.79849946171,398.600595524797,940.12756076506,2.53625973364568,21125.1364820582,-365188.837316457,-987767.487986483,54796.7888202079,-355629.591129831,-253255.809656718,-625482.844696309,351979.414191791,1387024.27859139,-196266.148604118,543135.771557991,390412.359491916,809502.384170882,11551.0962992468,141813.987182933,75571.7102639792,332377.441171579
"lambdaw_eps_u",11855.1167374511,16117.0789646733,-360531.978492434,-706314.569872615,-11994.3216934291,-36822.988419066,239592.724289913,-212020.729316538,-221067.804718936,16067.7377601852,17590.1300399814,3058.39716819361,643.384004053642,783.619373092637,199.563981366388,16611.640260003,-192625.842150858,-643799.51816421,74196.6594390301,-252651.889229368,-182713.914715371,-395597.502606036,209294.553135993,964265.398928298,-192316.386947922,390412.359491916,285426.369569517,522859.195968437,8977.86344977598,108799.559184031,46977.3820505952,129840.397309437
"lambdaw_eps_w",28909.0426886048,4083.0422768562,-251727.649090859,-516651.890011277,8148.54114054277,-521592.021275641,1250822.6243931,-74244.1593650271,1218.91839033275,31672.4126812252,28826.5711778563,4752.15374661768,-3405.20614600404,66.5521851619815,-2616.12515467071,-3208.29033898466,-2417000.57936187,-2793865.84806217,-762155.85671851,-611115.05161732,-375265.087842631,-2396162.53650967,1812014.69147548,2721626.54948518,433581.465148082,809502.384170882,522859.195968437,2391699.20057951,-55214.5995643301,223305.561315684,247764.175018252,6613521.37370875
"lambda_r_star_scale",-14996.0919416475,-33673.6418154261,-262854.103170273,-507775.203347244,15537.3762030106,393038.713833014,-723266.231927595,-204129.17451003,-231038.245584739,2193.70899979179,-1630.76602480523,-407.512717569286,-220.247851785641,-479.02913568791,70.9935447216181,5896.805934852,380370.40513992,334741.192645366,188950.495378241,38824.5699424323,13205.5345817244,344620.432572267,-100107.858225317,-40452.9612216889,-11972.7511397524,11551.0962992468,8977.86344977598,-55214.5995643301,99977.9050685274,-5405.12944485821,-20820.1746659658,-3146236.7886022
"lambda_pi_star_scale",3487.97976723038,6241.81116904452,241597.024760342,481283.420103117,-21818.7901370571,-356624.977781411,675765.118891588,272036.272045884,273268.806700956,1071.02378783127,5138.46046793744,1836.91978529013,3280.27924944553,599.89344175504,1862.16437373833,21752.9790045255,150408.60877555,-160864.695535717,-33866.6862647477,-161140.413593173,-107783.458379641,-201153.297940686,256993.228404801,527876.170199294,-85239.1062604404,141813.987182933,108799.559184031,223305.561315684,-5405.12944485821,348331.208519557,-2446.30340724793,383819.53545938
"rho_w",4496.8774230142,3501.52195876153,-36831.8910145959,-76316.6903981727,1181.00719206944,-49948.7504249949,124425.823758172,-23834.2474671307,-13641.4591839416,3361.69428369817,3662.82547593535,615.844522520595,-661.77832349025,-11.7548872784323,-548.596891314212,-2332.91748691239,-284534.761231798,-302607.613622801,-93790.4244276523,-54455.9764990994,-31635.0963583745,-259403.886068486,169646.74675127,236932.636061018,51794.3882636376,75571.7102639792,46977.3820505952,247764.175018252,-20820.1746659658,-2446.30340724793,31846.4741013134,801434.116989544
"sigma_wpi",711580.560196545,1469916.89331724,16347616.942482,31787180.9085137,-544822.636833542,-22388130.4770995,40740344.4562315,13037489.3773267,14661486.2380284,-107147.402761968,-79416.3986530611,-31789.7531787818,1338.06720639299,10030.02548189,9872.37985974916,-500753.590508463,-27336134.7058541,-23381825.4577029,-11436799.3850003,-3230490.72036251,-1463138.91739127,-23909393.0798942,11334905.618751,9028564.23973927,2661958.9146846,332377.441171579,129840.397309437,6613521.37370875,-3146236.7886022,383819.53545938,801434.116989544,196898207.205923
