"","rho_r_star","sigma_r_star_pp","rho_pi_star","sigma_pi_star_pp","phi_m_m","phi_m_pi","phi_pi_m","phi_pi_pi","sigma_m_pp","sigma_pi_gap_pp","sigma_u_pp","impact_pi_m_ratio","liquidity_spread_gfc_pp","sigma_inf_pp","sigma_ptr_pp","sigma_inflation_survey_pp","sigma_tbill_survey_pp","sigma_nominal_yield_pp","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w.rho_w","sigma_wpi"
"lambda0_eps_u",0.000137256014984324,-0.00504072343777756,2.17038442144404e-05,0.000513212451333538,-0.000196714016145668,-0.00184665488044463,0.000238148066231687,-0.0104903706350958,-0.0054530113950624,0.0388283242232461,-0.0901132820516219,0.000398683936194184,-0.011201069653952,0.0438266789678771,-0.00745276912534849,0.00111747875846975,-9.73811471531435e-05,0.000254603366057122,-0.0108416607783609,0.0183720803465031,0.145809263729698,-1.07847171535608,1.93074409631619,-0.0618539508100063,-0.000740627947630243,0.000546165921256428,0.0048564963128849,-0.156826460141843,0.507127628428248,-0.0275388712729424,0.000910438371495003,-0.000101717595295707,-0.000453581263342669,-0.00348431684624369
"lambda0_eps_w",-2.09657108422675e-05,0.000341252174506747,-1.22243181152292e-06,8.261406122709e-05,-2.33105588603233e-05,2.57748328875334e-05,2.73465711024527e-05,0.00197255050262056,-0.000124629297868455,-0.00910230327263662,0.0057277154469329,0.00215519333935489,0.000158500197054562,-0.000435571601303725,-4.33270318750389e-05,-0.000575814184082892,0.00107194293528251,-0.000107337901644183,-0.000603152806125193,0.000283584618301007,-0.00495156231281635,0.006623561538395,-0.0618539508100063,0.0587869088771775,-0.000484261763387728,0.000263521979051014,-0.00183971353551808,-0.00372542996596397,-0.0331522868347145,0.0425834658508944,0.000854367332222274,-0.00027698053185837,4.56291262746745e-05,0.00544224953949884
"lambdaw_eps_r_star",-7.73666705254791e-07,3.23777893534174e-05,-4.74585642611512e-08,-8.54573846786536e-06,2.17293886838128e-06,-5.44836022126455e-06,-5.87700032547165e-06,-1.43217599853479e-05,3.45766210761153e-05,3.73475568865383e-05,0.000374015435084211,9.64211953911552e-05,2.15568839849512e-05,-0.000337516163711242,9.7394202279609e-05,8.35837831497693e-06,6.53888601228379e-05,-1.75692079185371e-06,7.53555401762592e-05,9.04407129816824e-07,-3.48892986271702e-06,-7.34520555413563e-05,-0.000740627947630243,-0.000484261763387728,9.61291053496698e-05,-2.71968375818007e-05,-0.000167795261335375,0.00159032374158806,-0.00281745221223937,-0.000382576231183444,-3.18247595927975e-05,-5.06946076813797e-06,-1.00179170669613e-05,-3.14031352572164e-05
"lambdaw_eps_pi_star",-2.23680417360477e-07,-6.31644225136654e-06,1.85221377413633e-07,-8.2495901681125e-06,-2.71176262828645e-07,-3.66774831284597e-06,-2.616146237895e-06,4.22643914059058e-05,-8.33594082242983e-06,-0.000123665265310754,-5.61073804384128e-05,0.00011698153526694,3.05595782506317e-06,-5.24278811194311e-05,-7.461317367268e-05,-6.7051538713755e-05,-2.46569528524421e-05,6.56945694838565e-07,-2.6628591492241e-05,3.75632557468722e-05,-2.68712680430221e-05,-0.000481217082041407,0.000546165921256428,0.000263521979051014,-2.71968375818007e-05,3.80833640484543e-05,8.77378872418846e-05,-0.00115907978126906,0.00154531955581316,0.000153753850880989,7.68057237159755e-05,5.4302113429136e-06,2.86918647284499e-05,2.31857281780997e-05
"lambdaw_eps_m",-1.23594540838624e-07,-0.000176805544809382,1.21495326920524e-06,-2.27455536271336e-05,-1.86996813329939e-06,6.33577945260736e-05,1.11489040088384e-05,-0.000329980055483613,-9.36930144959987e-05,0.00225188259114283,-0.00344082496434627,-0.000835123552514785,0.000198342946137532,0.00210618518840019,-0.000464789229663082,-0.000106702160092039,-0.000177769482778135,3.31040372472739e-06,-8.1310611844683e-05,-0.000202275230579517,0.000183802179280521,0.010025614159142,0.0048564963128849,-0.00183971353551808,-0.000167795261335375,8.77378872418846e-05,0.00201423635281742,-0.00560347635458033,0.022801188864962,-0.00210093412158946,0.0011609287712887,0.00013072323096073,0.000357775492712994,-0.000229538749659122
"lambdaw_eps_pi_gap",3.70509416272761e-06,0.00049686396520866,1.57270778345792e-07,-0.00018011817673856,2.34953770609282e-05,0.000437855489615787,-5.41482108608163e-05,0.00117289066023867,0.00038569430567336,0.000304465423821442,0.00620347671214938,-0.0122628236817854,-2.70886829719736e-05,-0.00070537867628212,0.00188310340597447,0.00107226522758113,0.000224328707882341,-1.86735666662705e-05,0.0016834579286221,-0.00136892260898939,-0.00401690118469717,0.117928640452688,-0.156826460141843,-0.00372542996596397,0.00159032374158806,-0.00115907978126906,-0.00560347635458033,0.111918439347333,-0.150407148736216,-0.00213062924762124,-0.00265902622533613,-0.000444393307131378,-0.000826723362112996,-0.000224229432785186
"lambdaw_eps_u",-2.32484580089532e-05,-0.00250888180312367,2.75967963102024e-05,-0.000208565074969524,-0.000121236478982376,-0.000436863781840483,0.000448476091798018,-0.0087218263764152,-0.00475445722163928,0.0452744091547276,-0.083475281223645,-0.0113464139930121,-0.00312448884471974,0.0439442126174639,-0.00728579541181,-0.000837752050747904,-0.00109497305296728,9.27821173885534e-05,-0.00175582764203013,0.000496066803987395,0.0142156198793872,-0.072381400605914,0.507127628428248,-0.0331522868347145,-0.00281745221223937,0.00154531955581316,0.022801188864962,-0.150407148736216,0.52423234498073,-0.027874828249505,0.011384839332912,0.00064111264999883,0.00282287716049128,-0.0034557028631223
"lambdaw_eps_w",-1.21907388691274e-05,0.000260152015640872,-1.26432174699387e-06,8.71645368919993e-05,-2.34687849515943e-05,-1.67186124200578e-05,2.90804347485229e-05,0.00148723123395092,-0.00014763697084578,-0.00717935117964931,0.00443073610891939,0.00193432947432746,-0.000152661247781628,-0.000533338899730948,0.000144893483081382,-0.000262376163453514,0.000835779729340944,-7.51219543456655e-05,-0.000466154718543025,0.00042350133777718,-0.00197622294352534,-0.00925697785256018,-0.0275388712729424,0.0425834658508944,-0.000382576231183444,0.000153753850880989,-0.00210093412158946,-0.00213062924762124,-0.027874828249505,0.0317475006213112,-0.000176259509887805,-0.000325843079656216,-0.000206083836296146,0.00399522930179975
"lambda_r_star_scale",-1.65299658034036e-07,-0.000153695517344515,1.48304191809771e-06,-3.30953764356332e-05,-3.10193173744715e-06,3.40252329288593e-05,4.11835846971713e-05,3.08437213197665e-05,-0.000130198020800165,0.00030744374739953,-0.00216398284653457,-0.00162421805268755,0.000200370261121099,0.00214052829698415,-0.000530430702320424,-0.000212675192528926,-0.000127397661429866,2.73528854952162e-06,3.14197836592037e-05,-5.88036277563294e-05,0.000140582139298558,0.00612274886142789,0.000910438371495003,0.000854367332222274,-3.18247595927975e-05,7.68057237159755e-05,0.0011609287712887,-0.00265902622533613,0.011384839332912,-0.000176259509887805,0.00181422025757182,0.000285513607128808,0.000448600562855089,8.62758328813265e-05
"lambda_pi_star_scale",2.24367122186855e-06,-3.42949553193857e-05,3.33433230433518e-08,-5.49376774744983e-07,-8.06498028609986e-07,3.92506948701147e-06,-9.92864358203506e-07,-6.27547092072429e-06,5.23552447683096e-06,-1.54301939257019e-05,-1.89941005262733e-05,-0.000111335649872157,6.80421808940492e-05,0.000122134832005596,-0.000172133956336588,-0.000105451767476629,-7.15474352519876e-05,1.65826181123824e-06,-1.77547680773208e-05,-1.06483249225406e-05,0.000106398196506993,0.000111395027870621,-0.000101717595295707,-0.00027698053185837,-5.06946076813797e-06,5.4302113429136e-06,0.00013072323096073,-0.000444393307131378,0.00064111264999883,-0.000325843079656216,0.000285513607128808,0.000112590070393298,6.83156204715659e-05,-2.32088277989702e-05
"rho_w.rho_w",-2.90748942903513e-08,-4.45006192100034e-05,3.39412527653318e-07,-9.55680325269698e-06,1.44091762473631e-07,1.24540060352778e-05,4.65024539236343e-06,2.16616701608751e-05,-1.33562170896346e-05,5.4415317412156e-05,-0.00043880042145697,-0.000263410597627848,6.07164982273582e-05,0.000423284132692982,-0.00013712333651402,-7.33513318985428e-05,-3.87375792039795e-05,1.39741802709561e-06,-3.31012813696443e-06,-1.09061914328473e-05,4.72947704489138e-05,0.0017551472583405,-0.000453581263342669,4.56291262746745e-05,-1.00179170669613e-05,2.86918647284499e-05,0.000357775492712994,-0.000826723362112996,0.00282287716049128,-0.000206083836296146,0.000448600562855089,6.83156204715659e-05,0.000125283922581161,2.56123176883978e-06
"sigma_wpi",-1.66744629277743e-06,2.73384477426266e-05,-8.31140656699826e-08,7.1349054206768e-06,-2.63715529357204e-06,-1.83537069008529e-06,3.80416862773643e-06,0.000197029479714477,-1.50030705353965e-05,-0.000928627438103957,0.000544273558148698,0.000212866087058083,-2.75545127554001e-06,-3.95930782691248e-05,6.46286817362808e-07,-5.60103007526182e-05,0.000112163401442951,-9.64079059811335e-06,-4.65158878979152e-05,5.89443969426281e-05,-0.000230317385900054,-0.00108350443294888,-0.00348431684624369,0.00544224953949884,-3.14031352572164e-05,2.31857281780997e-05,-0.000229538749659122,-0.000224229432785186,-0.0034557028631223,0.00399522930179975,8.62758328813265e-05,-2.32088277989702e-05,2.56123176883978e-06,0.000514361877773532
