"component","mean_all_irp_dates","rmse_all_irp_dates","mean_2004_onward","rmse_2004_onward"
"Model premium minus survey proxy",0.216234274826968,0.495638636402648,0.154898274791956,0.374008134823562
"Definition and convexity wedge",0.201823467451847,0.269435473025125,0.209671319122484,0.304607715378487
"Fitted-observable proxy minus survey proxy",0.0144108073751211,0.449398400917116,-0.054773044330528,0.342787896843647
"Nominal 10y yield contribution",0.00326687198451904,0.0715201447237932,0.00564597810177778,0.0805830992521109
"Real 10y yield contribution",-0.000478370492385087,0.284736284049761,-0.0330707142205272,0.16939986349963
"CPI10 contribution",0.0116223058829872,0.203688081615966,-0.0273483082117787,0.215183197731043
