"date","observed_irp","fitted_observable_irp","structural_irp","structural_error","definition_wedge","irp_fit_error","nominal_yield_contribution","real_yield_contribution","cpi10_contribution"
1968-10-01,NA,-0.0214786803988747,0.152346255359993,NA,0.173824935758868,NA,NA,NA,NA
1968-11-01,NA,0.0474013948632333,0.220935529202562,NA,0.173534134339329,NA,NA,NA,NA
1968-12-01,NA,0.202983737397866,0.378294185917167,NA,0.175310448519301,NA,NA,NA,NA
1969-01-01,NA,0.216263416815952,0.391104885942106,NA,0.174841469126154,NA,NA,NA,NA
1969-02-01,NA,0.255734727499689,0.4302125456265,NA,0.174477818126811,NA,NA,NA,NA
1969-03-01,NA,0.284885813741843,0.459016554137301,NA,0.174130740395458,NA,NA,NA,NA
1969-04-01,NA,0.239344154131255,0.413191939113801,NA,0.173847784982546,NA,NA,NA,NA
1969-05-01,NA,0.30680973303342,0.481631706243638,NA,0.174821973210218,NA,NA,NA,NA
1969-06-01,NA,0.337084563888762,0.511000930921127,NA,0.173916367032365,NA,NA,NA,NA
1969-07-01,NA,0.363375992993726,0.535577700896515,NA,0.172201707902789,NA,NA,NA,NA
1969-08-01,NA,0.377930231495418,0.549424852848783,NA,0.171494621353365,NA,NA,NA,NA
1969-09-01,NA,0.469327052973185,0.645234688072126,NA,0.175907635098941,NA,NA,NA,NA
1969-10-01,NA,0.447317738417143,0.624180423895234,NA,0.176862685478091,NA,NA,NA,NA
1969-11-01,NA,0.41965729092543,0.595376744809955,NA,0.175719453884525,NA,NA,NA,NA
1969-12-01,NA,0.431734621985128,0.610240829826756,NA,0.178506207841628,NA,NA,NA,NA
1970-01-01,NA,0.467929280059059,0.648664279387233,NA,0.180734999328174,NA,NA,NA,NA
1970-02-01,NA,0.477635805593062,0.658695789997728,NA,0.181059984404666,NA,NA,NA,NA
1970-03-01,NA,0.411942450446999,0.591365122293403,NA,0.179422671846404,NA,NA,NA,NA
1970-04-01,NA,0.485262939072111,0.666715576266582,NA,0.181452637194471,NA,NA,NA,NA
1970-05-01,NA,0.577829392452496,0.759971917177337,NA,0.182142524724841,NA,NA,NA,NA
1970-06-01,NA,0.584387743635926,0.766035854224361,NA,0.181648110588435,NA,NA,NA,NA
1970-07-01,NA,0.549213540226006,0.730655791550458,NA,0.181442251324452,NA,NA,NA,NA
1970-08-01,NA,0.538132020927353,0.720253682702498,NA,0.182121661775145,NA,NA,NA,NA
1970-09-01,NA,0.499911952251326,0.681545685023027,NA,0.181633732771701,NA,NA,NA,NA
1970-10-01,NA,0.482736145581071,0.663856946831666,NA,0.181120801250595,NA,NA,NA,NA
1970-11-01,NA,0.390807765249616,0.570727398027968,NA,0.179919632778352,NA,NA,NA,NA
1970-12-01,NA,0.312579100946474,0.490691535733243,NA,0.178112434786769,NA,NA,NA,NA
1971-01-01,NA,0.335195318054629,0.514724536627208,NA,0.179529218572579,NA,NA,NA,NA
1971-02-01,NA,0.328396165466135,0.508655799000163,NA,0.180259633534028,NA,NA,NA,NA
1971-03-01,NA,0.237633609350856,0.414850545070822,NA,0.177216935719966,NA,NA,NA,NA
1971-04-01,NA,0.344593070422723,0.522773938294785,NA,0.178180867872062,NA,NA,NA,NA
1971-05-01,NA,0.464193275374901,0.643020061129951,NA,0.17882678575505,NA,NA,NA,NA
