"parameter","baseline","liquid_tips"
"rho_r_star",0.993094581156088,0.99280171776725
"rho_pi_star",0.998570600724272,0.998619090125987
"rho_w",0.929507311059276,0.929572340167396
"lambda_r_star_scale",0.260720370124694,0.265627908379131
"lambda_pi_star_scale",0.0817137553296304,0.0797704203326988
