"date","r_star","pi_star","real_yield_10y","nominal_tp","real_tp_5y","real_tp","inflation_rp","r_star_liquid_tips","pi_star_liquid_tips","real_yield_10y_liquid_tips","nominal_tp_liquid_tips","real_tp_5y_liquid_tips","real_tp_liquid_tips","inflation_rp_liquid_tips"
1968-10-01,0.581720812299896,4.13036366482964,1.80811873151089,1.18950067606589,0.60006361425911,1.1076735687097,0.216446902818015,0.63131069726813,4.00512986360708,1.87620448792375,1.26197645086926,0.592967924813764,1.12593026915372,0.273864680893292
1968-11-01,1.12839534412875,3.50793410635974,2.33906372026207,1.35627823170674,0.697785857061204,1.21723237388378,0.27453213541438,1.1576419806733,3.38695990635818,2.40493814916926,1.44004558021535,0.704612426604595,1.24842696489884,0.330353928946022
1968-12-01,1.9584550936203,2.82860869675118,3.17090287800032,1.66856791947577,0.871988483382081,1.4214702960645,0.384997218683058,2.09128296062534,2.56086317056265,3.35853056226821,1.80788892092947,0.920709338436615,1.5005286136649,0.448955396319012
1969-01-01,2.00663093224571,2.68254479868866,3.2960531865605,1.71373037603021,0.925205878284721,1.45031457210417,0.401399730222814,2.04539191076699,2.51673700236344,3.40199657844541,1.830287745848,0.965996143965879,1.51488678866953,0.456907810033092
1969-02-01,1.99084985116554,2.56577432178498,3.38265831779523,1.83374601140608,1.0709335503064,1.52678779468501,0.445240582824865,1.97477896110602,2.45429025018428,3.4462194102574,1.9380566384117,1.11332926384229,1.58615579602969,0.49360143751025
1969-03-01,1.791629600076,2.65062868139655,3.28021210231318,1.90724648461312,1.19370938507107,1.57275118432323,0.472734036956326,1.81399384567016,2.49828702788417,3.37925703557601,2.01680337621166,1.24244418527525,1.6375554145855,0.520942396510785
1969-04-01,1.78368315232716,2.69533063038062,3.20794112256778,1.7813268771557,1.0589827073073,1.49201516820739,0.427034676696193,1.83129581143104,2.52393626109283,3.32102498251859,1.89324727892257,1.10087259473322,1.55498936286546,0.47945538541799
1969-05-01,1.8278779624725,2.66184993921146,3.34091328464509,1.97749112730943,1.25441699587779,1.61829252521975,0.497856910954441,1.84082335464006,2.51452853276364,3.43609254202411,2.08731439787147,1.30679307471372,1.68529600253211,0.544149149819803
1969-06-01,1.60488853420293,2.66472620575754,3.36279438624272,2.06327437380951,1.4090292486878,1.67175370794443,0.530026847105532,1.58945910785175,2.55378969885711,3.43245778441219,2.16058466264399,1.46030338190476,1.73226771565154,0.570176724491722
1969-07-01,1.35442983803052,2.58243913944791,3.41598167849704,2.15721458672897,1.59251433688151,1.72972835171061,0.565645683367322,1.34624805330549,2.45308526792022,3.49877629433069,2.2564122748262,1.65684527273287,1.79358681114296,0.604260368652749
1969-08-01,1.31216967272732,2.50356014690815,3.43369128536514,2.20118005980618,1.66192354654671,1.75698606843331,0.582315156716214,1.28160138978625,2.39796223899259,3.49804497327853,2.2939790742545,1.7261782004794,1.81759990212793,0.617696158614975
1969-09-01,1.53472693866657,2.72591424126433,3.65300860743864,2.45794320214602,1.83295080058113,1.92634384106691,0.671661204938194,1.47734253198019,2.64176660565869,3.70702262605592,2.5538883680467,1.90595740744137,1.99682272887183,0.700507074867222
1969-10-01,1.61268811483912,2.841938989018,3.60917143014187,2.39311655945211,1.72542535479371,1.88594027695411,0.647270258119592,1.58644390960779,2.72515224068397,3.6877292122289,2.49648278188752,1.79600780899914,1.9599232467646,0.680131659852511
