"sample","object","mean_difference","mean_absolute_difference","maximum_absolute_difference","months"
"full_sample","r_star",0.201350165153458,0.389962886871621,2.65497985801249,695
"full_sample","pi_star",-0.313531569470084,0.43876265896727,3.07394495149835,695
"full_sample","real_yield_10y",0.228883960855061,0.351229998045762,2.53546255424952,695
"full_sample","nominal_tp",0.121202275091969,0.138975827256764,0.880351631530815,695
"full_sample","real_tp_5y",0.0346790699333888,0.085480517214067,0.460421126583806,695
"full_sample","real_tp",0.0673182038612891,0.106857866395325,0.665262976756164,695
"full_sample","inflation_rp",0.0567308173943762,0.0590984147408415,0.219663999985956,695
"pre2004","r_star",0.311698865137172,0.577578502118562,2.65497985801249,423
"pre2004","pi_star",-0.482196458071424,0.655649959594666,3.07394495149835,423
"pre2004","real_yield_10y",0.373897061374365,0.540260455051926,2.53546255424952,423
"pre2004","nominal_tp",0.192562379516385,0.203485093966944,0.880351631530815,423
"pre2004","real_tp_5y",0.0936022079107422,0.102700384247448,0.460421126583806,423
"pre2004","real_tp",0.135484595919501,0.146830109619023,0.665262976756164,423
"pre2004","inflation_rp",0.060670182435015,0.062769738207063,0.219663999985956,423
"ordinary_post2004","r_star",0.0202063832527031,0.04164193459523,0.258391765217401,236
"ordinary_post2004","pi_star",-0.0525539963630699,0.052815197440851,0.138526422240183,236
"ordinary_post2004","real_yield_10y",0.00338329531460478,0.00852971986022827,0.062259947069282,236
"ordinary_post2004","nominal_tp",0.01439975495946,0.0284111502233853,0.137636158708246,236
"ordinary_post2004","real_tp_5y",-0.0503142589162826,0.051468058095567,0.190952330560746,236
"ordinary_post2004","real_tp",-0.0356559319098276,0.0384137006078823,0.118639212395728,236
"ordinary_post2004","inflation_rp",0.0517628607648295,0.052320629135629,0.084253211998227,236
"omitted_gfc_covid","r_star",0.0922510661386576,0.468916761531944,1.42525101426583,36
"omitted_gfc_covid","pi_star",-0.042572107661433,0.420436902157455,1.54292228560127,36
"omitted_gfc_covid","real_yield_10y",0.00326217051845274,0.376712840772935,1.34382468050308,36
"omitted_gfc_covid","nominal_tp",-0.0171290976929243,0.105804826186531,0.307087201488805,36
"omitted_gfc_covid","real_tp_5y",-0.100489312174892,0.106117644904227,0.260023588091164,36
"omitted_gfc_covid","real_tp",-0.058584234989823,0.0858735397901105,0.247857803189203,36
"omitted_gfc_covid","inflation_rp",0.043010993849453,0.0603925140913537,0.12210390259635,36
