"date","r_star_estimate","r_star_p025","r_star_p16","r_star_median","r_star_p84","r_star_p975","pi_star_estimate","pi_star_p025","pi_star_p16","pi_star_median","pi_star_p84","pi_star_p975","w_estimate","w_p025","w_p16","w_median","w_p84","w_p975"
1968-10-01,0.581720812298946,-1.98397512813429,-0.824828665849625,0.607872453058798,1.83407312772772,3.03375088697149,4.13036366483014,0.987838036940945,2.51419691141026,3.98835251262523,5.75957387916199,7.12913618353127,-1.24550217708099,-2.23112718536978,-1.6449688020309,-1.22796229245488,-0.721530470774781,-0.0214930250396073
1968-11-01,1.12839534412815,-1.64885816566909,-0.269825971709325,1.09640512116086,2.25565130584436,3.5651676408448,3.50793410636045,0.3025507159055,2.03215284813707,3.52711286832513,4.99043880322776,6.79377072168462,-1.25993917156943,-2.13399675258269,-1.68260536044137,-1.24940739403812,-0.762878946916046,0.0764120832737456
1968-12-01,1.95845509362016,-0.447394848708738,0.954509029815107,1.872097160638,2.7741559790861,3.7075333400395,2.82860869675127,1.29150033796195,2.13198931459546,2.8158058093743,3.54749130069104,4.30430090428195,-1.28334801682031,-2.33928591490293,-1.73712997712819,-1.2547437947968,-0.79882066881817,0.0868443469795116
1969-01-01,2.0066309322456,-0.476034685551085,1.03520017814582,1.9632487232166,2.75446066060243,3.79025868333103,2.68254479868878,1.06600028311998,1.96715704905047,2.69253368243633,3.44442064659861,4.2001650334796,-1.17943067729787,-2.22274593409467,-1.58903685992957,-1.16314675062007,-0.694300602635459,0.181771503762348
1969-02-01,1.99084985116543,-0.694454823451246,0.994823502303372,1.94868719439662,2.72472005560749,3.78072267238965,2.56577432178511,0.927307986409491,1.82167023000913,2.61166412982801,3.42270187785845,4.32881764918405,-0.864071848904441,-1.86741581840133,-1.27404544472865,-0.834022503290997,-0.387996884613877,0.393627342834219
1969-03-01,1.79162960007594,-0.755035309581709,0.782780111316431,1.71758822109343,2.50358684524818,3.41398300919709,2.65062868139662,1.62999644557773,2.11812827132107,2.71636417518672,3.33798158101793,3.91468946343866,-0.523090428850804,-1.53978721775144,-0.932883634469296,-0.493417990791974,-0.0119374911150043,0.905648319197099
1969-04-01,1.78368315232709,-0.662986076798696,0.837581439850646,1.75481531201774,2.52576365658731,3.53821898856235,2.69533063038069,1.49842354410556,2.13373042593507,2.6703632342546,3.29901220805944,4.02860421789,-0.787682822152089,-1.79356834046397,-1.20488873010675,-0.7727010647483,-0.268134520835698,0.582632564161369
1969-05-01,1.82787796247244,-0.725404825410843,0.898550513083804,1.78889689042393,2.5516783452015,3.39827815430696,2.66184993921154,1.49738102434267,2.09939625819352,2.68469190051158,3.31617667798942,3.90882505445294,-0.431024050722059,-1.4288047988254,-0.828721498748819,-0.409524212233486,0.062967684067222,0.972895482930059
1969-06-01,1.60488853420289,-1.01261181182749,0.705795421050139,1.57336979804597,2.31702068123723,3.18259769853888,2.66472620575759,1.64323224851066,2.1820534543887,2.68510073308174,3.17176143842626,3.65933965403654,0.00156259556564126,-0.960498198483605,-0.383391275601681,0.0583640801791363,0.514611974327055,1.38087109848549
1969-07-01,1.35442983803048,-1.38931434205789,0.44088869951319,1.31947788620389,2.07774447438208,2.95972034030505,2.58243913944796,1.57028550513026,2.10826240311739,2.61159639618504,3.0873221005221,3.59520497517733,0.524707219856953,-0.474499779959082,0.144308048043157,0.566461743896881,1.06166863168888,1.99419173909134
1969-08-01,1.31216967272728,-1.38741297643998,0.455960789135678,1.28730803471569,2.04323194310107,3.03649985068303,2.5035601469082,1.4033892083512,1.97339786703222,2.4886701715182,3.03020699996324,3.55483941928129,0.702417671608709,-0.240186741952681,0.290730624768224,0.752328310493959,1.2107928322175,2.1272547362762
