"parameter","estimate","hessian_hac_se","opg_hac_se","se_ratio_hessian_to_opg"
"rho_r_star",0.99271704923277,3.4237428816455e-05,0.0006103390666102,0.0560957518361202
"sigma_r_star_pp",0.195888330395398,0.000245643391693565,0.0130160972277035,0.0188722769503241
"rho_pi_star",0.998605523938608,6.94301232354172e-06,9.17546730112712e-05,0.0756693048504335
"sigma_pi_star_pp",0.171862581397427,0.000142036330985917,0.00466463321771054,0.0304496247307586
"phi_m_m",0.959520011424573,6.66323587804204e-05,0.000713475231341505,0.0933912711379421
"phi_m_pi",0.0260370505223317,0.000250224665578696,0.00302073891744663,0.0828355817622945
"phi_pi_m",-0.00271753199369911,0.000321355532026922,0.00416543456087352,0.077148140807554
"phi_pi_pi",0.663969544462936,5.40104930486854e-05,0.0206619638837714,0.00261400578146916
"sigma_m_pp",0.645951554610961,0.00415231102759732,0.0163133707245706,0.254534215993955
"sigma_pi_gap_pp",0.875259750418741,0.000108856497004503,0.0994103996123784,0.00109502121939914
"sigma_u_pp",1.73777586930449,0.019957153395611,0.143443494997611,0.139129023563902
"impact_pi_m_ratio",0.306541691703317,0.000640008495953886,0.135588213116176,0.00472023696783665
"liquidity_spread_gfc_pp",0.813732781251588,0.31303122802795,0.0235553674844405,13.2891676699471
"sigma_inf_pp",2.20000367116726,0.00557050098497397,0.133401676925109,0.0417573535308797
"sigma_ptr_pp",0.825217487992018,0.00355911131977001,0.0478074844267169,0.0744467390921959
"sigma_inflation_survey_pp",0.946254300250633,0.00342500280934996,0.0477480150734134,0.0717307893131046
"sigma_tbill_survey_pp",0.478888194434542,0.00206005505627868,0.0274466213581738,0.0750567812844905
"sigma_nominal_yield_pp",0.0664264577187553,0.000248089056043544,0.00101493084583331,0.244439369501921
"lambda0_eps_r_star",0.039231014104963,0.000332147408202687,0.0158511753294352,0.0209541186252541
"lambda0_eps_pi_star",0.0913119757032161,0.00300483219947354,0.0175362923439531,0.171349344578512
"lambda0_eps_m",0.46647477807717,0.000897099365640031,0.120124660132819,0.0074680699587256
"lambda0_eps_pi_gap",-3.82832495401311,0.000844136446805436,0.913044150151,0.000924529713777622
"lambda0_eps_u",5.29831302084843,0.0013531882927508,1.38951217926155,0.000973858533193963
"lambda0_eps_w",-0.0717553585214638,0.00164110475169264,0.242460118116728,0.00676855544095115
"lambdaw_eps_r_star",-0.00737821518175934,0.000566848882338311,0.00980454513731615,0.0578149087386911
"lambdaw_eps_pi_star",0.0524038177970751,0.000868463152135005,0.00617117201578876,0.14072904626756
"lambdaw_eps_m",0.434279489145395,0.000168260760562945,0.0448802445717202,0.00374910525039715
"lambdaw_eps_pi_gap",-2.8024801267056,0.000674310357904103,0.334542133889489,0.00201562162010616
"lambdaw_eps_u",4.14971948519577,0.00118452167787935,0.724038911233872,0.00163599173953337
"lambdaw_eps_w",0.0699906360144285,0.000514222968916033,0.178178283248299,0.00288600248886359
"lambda_r_star_scale",0.320778011450833,0.000735291928306297,0.042593664523868,0.0172629412502008
"lambda_pi_star_scale",0.0717474921610833,0.00131426236426392,0.0106108468273412,0.123860271065022
"rho_w.rho_w",0.930398260957175,0.000189676122943223,0.011193030089353,0.0169459137900154
"sigma_wpi",0.000403919080600303,0.000482997290588912,0.0226795475654505,0.0212966016713975
