"parameter","estimate","hessian_hac_se","opg_hac_se","se_ratio_hessian_to_opg"
"rho_r_star",0.99271704923277,1.23085208599429e-06,0.0006103390666102,0.00201666934550068
"sigma_r_star_pp",0.195888330395398,1.78471882108125e-05,0.0130160972277035,0.00137116279162594
"rho_pi_star",0.998605523938608,9.92870376013198e-07,9.17546730112712e-05,0.010820924356531
"sigma_pi_star_pp",0.171862581397427,1.75948596693213e-05,0.00466463321771054,0.00377197066695784
"phi_m_m",0.959520011424573,2.39381094212595e-06,0.000713475231341505,0.00335514231885108
"phi_m_pi",0.0260370505223317,7.69662667836579e-05,0.00302073891744663,0.0254792846674468
"phi_pi_m",-0.00271753199369911,6.34268645911157e-05,0.00416543456087352,0.0152269501931186
"phi_pi_pi",0.663969544462936,9.01922491766005e-06,0.0206619638837714,0.000436513439303029
"sigma_m_pp",0.645951554610961,0.000579781766136752,0.0163133707245706,0.0355402801741951
"sigma_pi_gap_pp",0.875259750418741,2.46599547885101e-05,0.0994103996123784,0.000248062123124586
"sigma_u_pp",1.73777586930449,0.00278290541196431,0.143443494997611,0.0194007083556536
"impact_pi_m_ratio",0.306541691703317,5.35113460127289e-06,0.135588213116176,3.94660750981938e-05
"liquidity_spread_gfc_pp",0.813732781251588,0.311390134418606,0.0235553674844405,13.2194980453731
"sigma_inf_pp",2.20000367116726,0.000778255996640164,0.133401676925109,0.00583392963700954
"sigma_ptr_pp",0.825217487992018,0.00014611273364518,0.0478074844267169,0.00305627320486091
"sigma_inflation_survey_pp",0.946254300250633,0.000139931848259162,0.0477480150734134,0.00293063173503682
"sigma_tbill_survey_pp",0.478888194434542,4.6387600593891e-05,0.0274466213581738,0.00169010239870841
"sigma_nominal_yield_pp",0.0664264577187553,0.000110880588642225,0.00101493084583331,0.109249402653821
"lambda0_eps_r_star",0.039231014104963,0.000209599147944947,0.0158511753294352,0.0132229404816264
"lambda0_eps_pi_star",0.0913119757032161,0.000166192655698779,0.0175362923439531,0.00947706917968244
"lambda0_eps_m",0.46647477807717,7.58162677945534e-05,0.120124660132819,0.000631146574822562
"lambda0_eps_pi_gap",-3.82832495401311,0.000602003058435155,0.913044150151,0.000659336197855925
"lambda0_eps_u",5.29831302084843,0.000865210483916956,1.38951217926155,0.000622672112436444
"lambda0_eps_w",-0.0717553585214638,0.000133681364540689,0.242460118116728,0.000551354035373071
"lambdaw_eps_r_star",-0.00737821518175934,0.000156534260788155,0.00980454513731615,0.0159654791319574
"lambdaw_eps_pi_star",0.0524038177970751,0.000203918368865269,0.00617117201578876,0.0330437019651292
"lambdaw_eps_m",0.434279489145395,4.99369463339427e-05,0.0448802445717202,0.00111267099389669
"lambdaw_eps_pi_gap",-2.8024801267056,7.60310388269633e-05,0.334542133889489,0.000227268947988713
"lambdaw_eps_u",4.14971948519577,7.95025305270853e-05,0.724038911233872,0.000109804223631574
"lambdaw_eps_w",0.0699906360144285,0.00013581940579421,0.178178283248299,0.000762266889758613
"lambda_r_star_scale",0.320778011450833,1.90946446980738e-05,0.042593664523868,0.000448297767086319
"lambda_pi_star_scale",0.0717474921610833,6.50124353713144e-05,0.0106108468273412,0.00612697897059406
"rho_w.rho_w",0.930398260957175,1.36580163282068e-05,0.011193030089353,0.00122022510608621
"sigma_wpi",0.000403919080600303,5.94276870828003e-05,0.0226795475654505,0.00262032066165778
