"","cpp_r","formula","zero_inflation","derivative","cumulative_inflation"
"three_factor",2.22044604925031e-16,1.73472347597681e-18,1.73472347597681e-18,1.52001744524455e-10,4.77048955893622e-18
"estimated_physical",2.22044604925031e-16,2.60208521396521e-18,2.60208521396521e-18,4.51907317122746e-10,1.30104260698261e-18
"estimated_risk_neutral",4.44089209850063e-16,3.46944695195361e-18,3.46944695195361e-18,4.5329293096863e-10,5.63785129692462e-18
