"security","maturity_months","maturity","mean_error_bp","mean_abs_error_bp","rmse_bp","max_abs_error_bp","median_mc_se_bp","max_mc_se_bp"
"Nominal",12,"1y",-0.0447332701027202,0.0447332701027202,0.0599726510293168,0.125900336496165,0.00902492603028523,0.0241724687564307
"Nominal",24,"2y",-0.108092082151814,0.108092082151814,0.137769967186771,0.278810671166879,0.0122050927354691,0.0261977740817467
"Nominal",60,"5y",-0.333389411769903,0.333389411769903,0.382281674385828,0.711338575868092,0.0144493521804286,0.0254644528089621
"Nominal",120,"10y",-0.707263331881101,0.707263331881101,0.770332554798901,1.3010251013162,0.0158205752250948,0.0245566401304345
"Real",12,"1y",-0.0449874491854744,0.0449874491854744,0.0579670996831632,0.110630022252978,0.00892405192072776,0.0238644927296804
"Real",24,"2y",-0.107927709670669,0.107927709670669,0.132787479882183,0.243332931753731,0.0119511291855393,0.0255607475022457
"Real",60,"5y",-0.325933975557025,0.325933975557025,0.367731996049985,0.639192934149738,0.013848046386028,0.02422286967104
"Real",120,"10y",-0.673783909523266,0.673783909523266,0.724231637567413,1.15453291102937,0.0145380207073877,0.022254993757792
