"security","region","mean_error_bp","mean_abs_error_bp","rmse_bp","max_abs_error_bp","median_mc_se_bp","max_mc_se_bp"
"Nominal","Above the bound",-0.232715058344536,0.232715058344536,0.360361935412869,1.25341028501069,0.00962627125273867,0.0250124358918692
"Nominal","Below the bound",-0.554907749274497,0.554907749274497,0.696919575358489,1.33952098506742,0.0239018593395217,0.0261977740817467
"Nominal","Near the bound",-0.377713911742684,0.377713911742684,0.489798653345836,1.03570750232935,0.0171703420842598,0.0213125624552058
"Real","Above the bound",-0.233045586366281,0.233045586366281,0.351481946913798,1.15193869608086,0.0093190189321377,0.0241742568004134
"Real","Below the bound",-0.504555278774062,0.504555278774062,0.633284646273201,1.19302879478095,0.0231640159991613,0.0255607475022457
"Real","Near the bound",-0.361665167106255,0.361665167106255,0.465933112935905,0.981596675044327,0.0164421580616205,0.020876765900142
