"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
0,1,1,26,4.5,"Above the bound",0.5,12,"1y","Nominal",3.86799902942197,3.86803008046891,-0.00310510469336833,0.00185634383093974,2000000
1,1,1,27,5.75,"Above the bound",0.5,12,"1y","Nominal",5.01746374066224,5.01746778728898,-0.000404662673769707,0.00050878822960661,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,12,"1y","Real",-0.435033108080676,-0.434114002145817,-0.0919105934859443,0.0191508130424065,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,12,"1y","Real",-0.0511095120294631,-0.0500182615115912,-0.109125051787195,0.0231022184786172,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,12,"1y","Real",0.748395300751901,0.749008156729311,-0.0612855977409899,0.0140544127148102,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,12,"1y","Real",-1.09571784425482,-1.09460716387426,-0.111068038056272,0.023295289138699,2000000
0,0,-1,5,0.5,"Near the bound",0.5,12,"1y","Real",-0.371868435028021,-0.371171541691556,-0.0696893336465498,0.015697480569379,2000000
1,0,-1,6,1.75,"Above the bound",0.5,12,"1y","Real",0.67789309123651,0.67811756993871,-0.0224478702200437,0.00617632635779773,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,12,"1y","Real",-1.48507008588423,-1.48428466389912,-0.0785421985110224,0.0173359737061925,2000000
0,1,-1,8,1.5,"Above the bound",0.5,12,"1y","Real",-0.462578037443594,-0.462301529914941,-0.0276507528652659,0.00718745876924836,2000000
1,1,-1,9,2.75,"Above the bound",0.5,12,"1y","Real",0.665386444102281,0.665437349801952,-0.00509056996710333,0.00219991631401589,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,12,"1y","Real",-0.605322454442563,-0.604223537414466,-0.109891702809639,0.0238644927296804,2000000
0,-1,0,11,1,"Near the bound",0.5,12,"1y","Real",0.145221919797636,0.145977443317763,-0.0755523520126838,0.0176110275963759,2000000
