"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
0,-1,0,11,1,"Near the bound",-0.5,12,"1y","Real",0.139048551562018,0.13816993034,0.0878621222017428,0.0562192444384432,200000
1,-1,0,12,2.25,"Above the bound",-0.5,12,"1y","Real",1.1696668520616,1.16926433045341,0.0402521608190209,0.0249520839196644,200000
-1,0,0,13,0.75,"Near the bound",-0.5,12,"1y","Real",-0.973249655586272,-0.974151940445257,0.0902284858985025,0.0611894679362388,200000
0,0,0,14,2,"Above the bound",-0.5,12,"1y","Real",0.0310193616075972,0.0305437152775658,0.0475646330031367,0.0284374247039343,200000
1,0,0,15,3.25,"Above the bound",-0.5,12,"1y","Real",1.14873293048778,1.14865828673337,0.00746437544079104,0.00985142877670528,200000
-1,1,0,16,1.75,"Above the bound",-0.5,12,"1y","Real",-1.10546918381204,-1.10602977550301,0.0560591690968781,0.0323185639122764,200000
0,1,0,17,3,"Above the bound",-0.5,12,"1y","Real",0.00363292898198847,0.00352712583212315,0.0105803149865326,0.0114655157399664,200000
1,1,0,18,4.25,"Above the bound",-0.5,12,"1y","Real",1.14812425651457,1.14811283609668,0.00114204178986999,0.00325781089767441,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,12,"1y","Real",0.370581619147442,0.369498735105174,0.108288404226847,0.066219041750089,200000
0,-1,1,20,2.5,"Above the bound",-0.5,12,"1y","Real",1.34693797765707,1.34626088431017,0.0677093346903135,0.0350745447855687,200000
1,-1,1,21,3.75,"Above the bound",-0.5,12,"1y","Real",2.44964525347275,2.4495046151681,0.014063830465183,0.0136756651864345,200000
-1,0,1,22,2.25,"Above the bound",-0.5,12,"1y","Real",0.213288504976796,0.212523023812273,0.0765481164523074,0.03910237791525,200000
0,0,1,23,3.5,"Above the bound",-0.5,12,"1y","Real",1.30561714355388,1.30543014745128,0.0186996102600645,0.0156531410295028,200000
1,0,1,24,4.75,"Above the bound",-0.5,12,"1y","Real",2.44496440861404,2.44494630517438,0.00181034396531388,0.00499321823505991,200000
-1,1,1,25,3.25,"Above the bound",-0.5,12,"1y","Real",0.162323487033623,0.162078486243545,0.0245000790077388,0.0178902056666903,200000
0,1,1,26,4.5,"Above the bound",-0.5,12,"1y","Real",1.29858002876249,1.29855765228254,0.00223764799442971,0.00583134730861262,200000
1,1,1,27,5.75,"Above the bound",-0.5,12,"1y","Real",2.44801670633238,2.44801460061171,0.000210572066272618,0.00155487115993477,200000
-1,-1,-1,1,-1.75,"Below the bound",-0.5,24,"2y","Nominal",0.406040288314981,0.407491245444038,-0.145095712905713,0.0783874305793835,200000
0,-1,-1,2,-0.5,"Below the bound",-0.5,24,"2y","Nominal",0.8726551016137,0.873859897288151,-0.120479567445064,0.0747253016662116,200000
1,-1,-1,3,0.75,"Near the bound",-0.5,24,"2y","Nominal",1.64163821719102,1.64223133578535,-0.0593118594332864,0.0474198320439941,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,24,"2y","Nominal",0.819747564167628,0.821098656964548,-0.135109279692036,0.0757378159926599,200000
0,0,-1,5,0.5,"Near the bound",-0.5,24,"2y","Nominal",1.54678921013114,1.54745634677048,-0.0667136639338262,0.0500882465206969,200000
1,0,-1,6,1.75,"Above the bound",-0.5,24,"2y","Nominal",2.50229914899322,2.5025358894421,-0.0236740448881445,0.0238572980072331,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,24,"2y","Nominal",1.45571189312891,1.45647044316182,-0.0758550032904814,0.0528063996797542,200000
0,1,-1,8,1.5,"Above the bound",-0.5,24,"2y","Nominal",2.39513725339149,2.39540974563102,-0.0272492239532518,0.025559916488228,200000
1,1,-1,9,2.75,"Above the bound",-0.5,24,"2y","Nominal",3.42180495960299,3.4218634964258,-0.0058536822811206,0.0101019591467077,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,24,"2y","Nominal",0.583786295224056,0.584854934414333,-0.106863919027733,0.0825248060766046,200000
0,-1,0,11,1,"Near the bound",-0.5,24,"2y","Nominal",1.26148282906604,1.26220851113534,-0.0725682069305345,0.0646464552637423,200000
1,-1,0,12,2.25,"Above the bound",-0.5,24,"2y","Nominal",2.16743956951499,2.16784250143954,-0.0402931924542216,0.036398839452805,200000
-1,0,0,13,0.75,"Near the bound",-0.5,24,"2y","Nominal",1.17307239425667,1.17387188137787,-0.0799487121197373,0.0670631218712372,200000
0,0,0,14,2,"Above the bound",-0.5,24,"2y","Nominal",2.06238421480679,2.06281281263496,-0.0428597828166843,0.0383063837870127,200000
1,0,0,15,3.25,"Above the bound",-0.5,24,"2y","Nominal",3.06383437752928,3.0640034129318,-0.0169035402523221,0.0176501024439998,200000
-1,1,0,16,1.75,"Above the bound",-0.5,24,"2y","Nominal",1.95859070740588,1.95904493248544,-0.0454225079555837,0.0403849372696166,200000
0,1,0,17,3,"Above the bound",-0.5,24,"2y","Nominal",2.9538937477706,2.95407362942701,-0.0179881656407144,0.0186420255917941,200000
1,1,0,18,4.25,"Above the bound",-0.5,24,"2y","Nominal",3.99384492034433,3.99386911460369,-0.00241942593639521,0.00740808928609964,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,24,"2y","Nominal",0.942180548383539,0.942889713724411,-0.0709165340872842,0.0778546145064368,200000
