"date","r_star_ekf","r_star_ukf","pi_star_ekf","pi_star_ukf","m_ekf","m_ukf","shadow_rate_ekf","shadow_rate_ukf"
1968-10-01,0.598907575769337,0.300575338431984,4.11557780838449,3.40102196767208,0.615410239851014,0.714126565825929,5.32989562400484,4.41572387192999
1968-11-01,1.14048531116227,0.997420327424597,3.49498806408607,3.62826646715514,0.815595100129776,0.814596866445079,5.45106847537812,5.44028366102482
1968-12-01,1.9623386175481,1.90689553961195,2.82641595221528,2.88061929972401,1.11059532558147,1.10979527356884,5.89934989534485,5.89731011290479
1969-01-01,2.00940643964983,1.95673686822899,2.67969071586764,2.73372660479462,1.4080897119836,1.40635238655617,6.09718686750107,6.09681585957977
1969-02-01,1.99344964214429,1.9428472463646,2.56291323715083,2.6154859809915,1.48079566421088,1.47878236851469,6.037158543506,6.03711559587079
1969-03-01,1.79313826465802,1.7637761084486,2.64895306578958,2.67803395000059,1.41309971807771,1.4133432927728,5.85519104852531,5.85515335122199
1969-04-01,1.78535857606168,1.75698991313699,2.69359721879473,2.7217389267863,1.4942007535893,1.49459358105493,5.97315654844571,5.97332242097823
1969-05-01,1.82973848897294,1.80200554803829,2.66048298789648,2.68810317548613,1.36634645469109,1.36657138870173,5.85656793156051,5.85668011222614
1969-06-01,1.60605562416183,1.5864423054346,2.66351082306869,2.68181327804088,1.95485466220886,1.95597789905966,6.22442110943938,6.22423348253514
1969-07-01,1.35558580388843,1.33635830113824,2.58108766272209,2.59903822122869,2.73839508418952,2.73945362138291,6.67506855080004,6.67485014374984
1969-08-01,1.31325979119466,1.29428528410752,2.50227464195088,2.51989913241544,2.79312972418335,2.79427854913167,6.60866415732889,6.60846296565463
1969-09-01,1.53855466749395,1.52442663799797,2.72635418274853,2.73895841219237,2.38066776485211,2.38193891051803,6.64557661509459,6.64532396070836
1969-10-01,1.61451053967551,1.60086404591803,2.84127146083124,2.85369804505999,2.13846189147495,2.13949756365046,6.5942438919817,6.59405965462848
1969-11-01,1.49495127644867,1.4815433022746,2.81522923992292,2.82736050232364,2.56546908585655,2.56656985711895,6.87564960222814,6.8754736617172
1969-12-01,1.79931483776562,1.78884859726128,2.94337384139503,2.95237969433623,2.74885358128679,2.75013783709511,7.49154226044744,7.49136612869262
