"series","mean_difference_pp","mean_absolute_difference_pp","maximum_absolute_difference_pp","mean_absolute_difference_after_24_months_pp","maximum_absolute_difference_after_24_months_pp"
"nominal_5y",0.0134378427456976,0.0220881377439567,0.416042481389025,0.0225337400040037,0.416042481389025
"nominal_10y",0.00824312973051589,0.0152341151981768,0.297335170217776,0.0152204103258312,0.297335170217776
"real_5y",0.00860306738435554,0.0141637042660814,0.279884010793508,0.0144980865949674,0.279884010793508
"real_10y",0.00410680308633195,0.00816539437837649,0.159357481314307,0.0080991683814119,0.159357481314307
"inflation_5y",0.00488736349094816,0.00813967239990011,0.165199567514235,0.00825473002269043,0.165199567514235
"inflation_10y",0.0041813538559838,0.0072777224754379,0.149792208454851,0.00732761154017512,0.149792208454851
