"series","unit","mean_difference","mean_absolute_difference","maximum_absolute_difference","mean_absolute_difference_after_24_months","maximum_absolute_difference_after_24_months"
"r_star","percentage points",-0.00705195037222942,0.00960413429476631,0.498486451796596,0.00823923832466708,0.218809280162001
"pi_star","percentage points",-0.00464077670389287,0.0101248578617077,0.720939641304935,0.00825660145122673,0.14724200537448
"m","percentage points",-0.0848943387679481,0.0995946105000045,1.88831879688887,0.10253019454737,1.88831879688887
"pi_gap","percentage points",-0.0350464254000478,0.0506555386646988,1.12446593793521,0.0519277601698478,1.12446593793521
"u","percentage points",0.0152672100337139,0.022565299437046,0.4672096893763,0.0227183052113969,0.4672096893763
"w","normalized units",0.0311447174153176,0.047024348406627,0.938587782407579,0.0481796802346945,0.938587782407579
"shadow_rate","percentage points",-0.0965870658440703,0.109338068204788,2.00741931546374,0.111826250060843,2.00741931546374
