"filter","regime","series","unit","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","bias_mc_sd","rmse_mc_sd","mae_mc_sd","average_sd_mc_sd","coverage_68_mc_sd","coverage_95_mc_sd","binding_fraction_mc_sd","loglik_per_month_mc_sd","runtime_seconds_mc_sd","iteration_fraction_mc_sd"
"EKF","all","w","normalized units",-0.0167112807130136,0.219981262996589,0.161961273723092,0.190035319892966,0.663302158273381,0.936510791366907,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0293253408251063,0.0900615771995216,0.0568336233736303,0.0583783462837501,0.0271483377890402,0.0165115555422819,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","w","normalized units",-0.0103470050609031,0.207814171414387,0.155337947827755,0.191193100627807,0.677294964028777,0.946748201438849,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0242493167029628,0.082258101654448,0.0512253539297527,0.0588297321278208,0.0221045624980121,0.0113157162362589,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","w","normalized units",0.00179619827594343,0.208918029912878,0.1570039127474,0.197743932592803,0.683741007194245,0.950194244604317,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0196828880729807,0.0770139120133145,0.0499885204733841,0.0634622563321307,0.0205513793984451,0.00983169017159054,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","w","normalized units",-0.169989418966151,0.396601848912743,0.312847180255076,0.294357134299806,0.537353632267012,0.838977308639758,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.120655468779286,0.140425420894142,0.10389265487049,0.0970530976743257,0.163728089550792,0.125115986399056,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","w","normalized units",-0.0773435039674421,0.34688878820331,0.273677929161327,0.318998285475962,0.651476539738472,0.93295525687881,0.129093525179856,81.9740626982289,0.129875000000001,1,0.126957104757336,0.139132600489929,0.105707315276887,0.0893409798208851,0.149266221330758,0.0553769168917826,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","w","normalized units",-0.026749639709909,0.344515088138527,0.273024926714593,0.336645736913057,0.677867739664533,0.944278491505297,0.129093525179856,82.0023703365253,0.563575000000001,0,0.128467880381881,0.12915200706572,0.0987018858728577,0.0867566544926913,0.145526558401606,0.0877216398390197,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","w","normalized units",0.00289144463687871,0.172649658116331,0.134287129420857,0.163828313754132,0.673516235967385,0.944759616044452,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0118382641739545,0.0233266951402075,0.0145957773973164,0.0117838773660693,0.023113955364232,0.0116750160443528,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","w","normalized units",0.00138776479936016,0.164323099865756,0.130203676175892,0.16273945475467,0.680586962747808,0.949567069968236,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0112788494315296,0.0136156858056801,0.00970047989793955,0.0100332953957318,0.0212600341952052,0.0100907468679707,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","w","normalized units",0.00667778337291149,0.170537816568719,0.133916913810824,0.169611786813432,0.684916801204504,0.951078364548497,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0130747663053922,0.021738517701944,0.0141496967780488,0.0184982271963906,0.0210464873938095,0.00982643179362955,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","m","percentage points",0.0487008843523016,0.232959982219015,0.140103226167251,0.147310700692815,0.649021582733813,0.919474820143885,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0767986090554147,0.205614076425061,0.116186811006348,0.116588790551387,0.0348683122161336,0.0318667294493841,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","m","percentage points",0.0296569726956972,0.201532549001943,0.126090552152186,0.14941196097391,0.672093525179856,0.943525179856115,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0789813596655092,0.20815037955756,0.111543548105096,0.116940945769825,0.0218756962605984,0.013125391520662,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","m","percentage points",0.00142025297584774,0.205848775259749,0.131324301222287,0.169406032118405,0.693690647482014,0.952553956834532,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0356694143160037,0.183296234870824,0.103494487089173,0.130370038652136,0.0223228148133241,0.00946371947048047,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","m","percentage points",0.29449995413436,0.534163743887525,0.398609593624872,0.300366328061665,0.427239323276975,0.685238398402466,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.139345105735987,0.266460876799961,0.185790958889351,0.213999442578605,0.170324716100695,0.171628766745769,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","m","percentage points",0.130602710697615,0.411663243349054,0.298098566338829,0.332574867569784,0.63448662179552,0.908073862498669,0.129093525179856,81.9740626982289,0.129875000000001,1,0.169307595290825,0.301476303884871,0.202781668044717,0.206341252662723,0.12696576075429,0.07300475445301,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","m","percentage points",0.0562187174267946,0.431629425254623,0.322356654888366,0.417738347637229,0.704845475358019,0.933687794068974,0.129093525179856,82.0023703365253,0.563575000000001,0,0.123093330821643,0.248771077503623,0.16784640224464,0.192239203556699,0.141138873951072,0.103428116325425,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","m","percentage points",0.0083275122193173,0.129146590007201,0.0849394367939732,0.0976508897745163,0.668957080679628,0.939435228218351,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0140131059423979,0.0599176568687791,0.0194154105021751,0.0110207007480447,0.0228057360232282,0.0166111813505362,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","m","percentage points",-0.000499024415779678,0.0982723359774324,0.0771141562066993,0.0963852295913583,0.679005504523252,0.948745597317943,0.129093525179856,81.9740626982289,0.129875000000001,1,0.00581402496322087,0.0124951840039046,0.0079714697189754,0.00890906703548828,0.0188951462399256,0.00947347879989706,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","nonbinding","m","percentage points",-0.0079875278998395,0.116429160439955,0.0852876306244931,0.112290428912967,0.69456013711939,0.954190437744066,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0147344172808578,0.0397302790423233,0.0194907628897846,0.029137692919688,0.0235018856112542,0.0101030653983947,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","all","pi_gap","percentage points",-0.00174160835864956,0.97562159120996,0.777649244798282,0.969121553572145,0.677359712230216,0.948834532374101,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0756352195719537,0.0389617997543753,0.0315395761058295,0.00748641988483071,0.0215124737587827,0.010528611251705,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","all","pi_gap","percentage points",-0.00377520661225221,0.974310203061151,0.776682379224806,0.9692664970532,0.678143884892086,0.949208633093525,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0754696843947311,0.0386962326272701,0.0311792240400828,0.0075878727495151,0.0215566355831028,0.0107344582382931,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","all","pi_gap","percentage points",-0.00546426833591118,0.974639779095657,0.776989956003362,0.970187537879352,0.678007194244604,0.949546762589928,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0753423386213101,0.0388091069231013,0.03133265310351,0.00843752920956274,0.0211313572741057,0.0105408937318741,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","binding","pi_gap","percentage points",0.0721150172398103,0.984142028895142,0.806523110986048,0.980144632164144,0.673190932473398,0.942142785709239,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.439842786239709,0.283754714932505,0.278308186346623,0.0354910928695545,0.162204546337658,0.0920155432892484,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","binding","pi_gap","percentage points",0.0461216426747312,0.975500712976481,0.799313830770237,0.98192817878871,0.675677598589434,0.93562555510159,0.129093525179856,81.9740626982289,0.129875000000001,1,0.436129395488568,0.282634580642583,0.277127702134053,0.0349371474603748,0.15832316970654,0.11817002254167,0.173159337826291,0.597769031711619,0.00879123449920956,0
"UKF","binding","pi_gap","percentage points",0.0476635604675348,0.978575483328877,0.802474654209155,0.985649724279009,0.682038200377658,0.937304714787328,0.129093525179856,82.0023703365253,0.563575000000001,0,0.437860630673236,0.278473890530752,0.274330888135271,0.0333829218900588,0.157216251350235,0.118185098205852,0.173159337826291,0.612345704318629,0.0416542887812196,0
"EKF","nonbinding","pi_gap","percentage points",-0.00467558935574564,0.970729612007465,0.773786282360835,0.966237684165505,0.678522621004689,0.949171656788342,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.082561549557774,0.0396876078792756,0.0318355801684409,0.00831595468317744,0.0228386157932327,0.0118012616088622,0.173159337826291,0.591278887833595,0.0059710861111464,0
"IEKF","nonbinding","pi_gap","percentage points",-0.00455512688446261,0.969609731871725,0.7729301619218,0.966165173416554,0.67915911288367,0.949636792802508,0.129093525179856,81.9740626982289,0.129875000000001,1,0.0823532363963192,0.0397884341777837,0.0319209956442929,0.0082864862437406,0.0229556743156199,0.0118117585596607,0.173159337826291,0.597769031711619,0.00879123449920956,0
