"regime","series","unit","filter_ekf","bias_ekf","rmse_ekf","mae_ekf","average_sd_ekf","coverage_68_ekf","coverage_95_ekf","binding_fraction_ekf","loglik_per_month_ekf","runtime_seconds_ekf","iteration_fraction_ekf","bias_mc_sd_ekf","rmse_mc_sd_ekf","mae_mc_sd_ekf","average_sd_mc_sd_ekf","coverage_68_mc_sd_ekf","coverage_95_mc_sd_ekf","binding_fraction_mc_sd_ekf","loglik_per_month_mc_sd_ekf","runtime_seconds_mc_sd_ekf","iteration_fraction_mc_sd_ekf","filter_ukf","bias_ukf","rmse_ukf","mae_ukf","average_sd_ukf","coverage_68_ukf","coverage_95_ukf","binding_fraction_ukf","loglik_per_month_ukf","runtime_seconds_ukf","iteration_fraction_ukf","bias_mc_sd_ukf","rmse_mc_sd_ukf","mae_mc_sd_ukf","average_sd_mc_sd_ukf","coverage_68_mc_sd_ukf","coverage_95_mc_sd_ukf","binding_fraction_mc_sd_ukf","loglik_per_month_mc_sd_ukf","runtime_seconds_mc_sd_ukf","iteration_fraction_mc_sd_ukf","rmse_ratio_ukf_to_ekf","coverage_95_difference","loglik_difference_per_month"
"all","m","percentage points","EKF",0.0487008843523016,0.232959982219015,0.140103226167251,0.147310700692815,0.649021582733813,0.919474820143885,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0767986090554147,0.205614076425061,0.116186811006348,0.116588790551387,0.0348683122161336,0.0318667294493841,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.00142025297584774,0.205848775259749,0.131324301222287,0.169406032118405,0.693690647482014,0.952553956834532,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0356694143160037,0.183296234870824,0.103494487089173,0.130370038652136,0.0223228148133241,0.00946371947048047,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.883622900804578,0.0330791366906474,0.0272108401494364
"all","pi_gap","percentage points","EKF",-0.00174160835864956,0.97562159120996,0.777649244798282,0.969121553572145,0.677359712230216,0.948834532374101,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0756352195719537,0.0389617997543753,0.0315395761058295,0.00748641988483071,0.0215124737587827,0.010528611251705,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.00546426833591118,0.974639779095657,0.776989956003362,0.970187537879352,0.678007194244604,0.949546762589928,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0753423386213101,0.0388091069231013,0.03133265310351,0.00843752920956274,0.0211313572741057,0.0105408937318741,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.998993654790804,0.000712230215827336,0.0272108401494364
"all","pi_star","percentage points","EKF",-0.00015121952971685,0.18726034202076,0.122194915734217,0.152844086999025,0.677223021582734,0.949388489208633,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0205291395259475,0.0267862464957819,0.00891559559057014,0.00292562097271006,0.0237384808030751,0.00996283092583121,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.00174265275976097,0.18661660290915,0.121832834522942,0.153325733788681,0.680726618705036,0.950985611510791,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0201736538188587,0.025930808936478,0.00877027339438021,0.00318190326491101,0.0237302785863194,0.010068406677951,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.996562330792183,0.00159712230215836,0.0272108401494364
"all","r_star","percentage points","EKF",0.00828791725092669,0.19159035879842,0.13277356472277,0.164785993901018,0.677035971223022,0.948302158273381,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0215601544127273,0.0303958093861862,0.0160085052399064,0.0164781735691797,0.0241299993133255,0.0104461465417007,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.00112444093720333,0.189719610617114,0.131963052157854,0.165372051955205,0.680618705035971,0.950431654676259,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0200192501951814,0.0269156784661305,0.0147608971121198,0.0171109048656031,0.0235399107701727,0.00923709269487682,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.990235687259844,0.00212949640287774,0.0272108401494364
"all","shadow_rate","percentage points","EKF",0.0568375820735114,0.248249678856218,0.142734379113659,0.14497178364497,0.647244604316547,0.917676258992806,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0880915176892683,0.222544565035586,0.12465326294342,0.119344170177457,0.0374058384447492,0.0340704183799261,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.000802041153290103,0.214775327960332,0.132702840014896,0.171867283970334,0.692820143884892,0.953021582733813,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0379174328626277,0.190701328664108,0.108512767465957,0.136396777898758,0.0224570112221069,0.00944535712019604,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.865158532932992,0.0353453237410072,0.0272108401494364
"all","u","percentage points","EKF",-0.00264966368380318,1.4065922891499,1.12172566959777,1.4103407927454,0.68268345323741,0.950223021582734,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0597268562177102,0.0375250019447986,0.0313708751097244,0.000858867935736741,0.017368841231959,0.00857638667179773,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",-0.000610671995799448,1.40642083107049,1.12162122156319,1.41048154222752,0.682719424460432,0.950330935251799,0.129093525179856,82.0023703365253,0.563575000000001,0,0.059385289945909,0.0374519865543796,0.0314354993319861,0.000974192780862809,0.0171233927589922,0.00861132669214592,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.999878103924832,0.000107913669064708,0.0272108401494364
"all","w","normalized units","EKF",-0.0167112807130136,0.219981262996589,0.161961273723092,0.190035319892966,0.663302158273381,0.936510791366907,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.0293253408251063,0.0900615771995216,0.0568336233736303,0.0583783462837501,0.0271483377890402,0.0165115555422819,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.00179619827594343,0.208918029912878,0.1570039127474,0.197743932592803,0.683741007194245,0.950194244604317,0.129093525179856,82.0023703365253,0.563575000000001,0,0.0196828880729807,0.0770139120133145,0.0499885204733841,0.0634622563321307,0.0205513793984451,0.00983169017159054,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.94970829363825,0.01368345323741,0.0272108401494364
"binding","m","percentage points","EKF",0.29449995413436,0.534163743887525,0.398609593624872,0.300366328061665,0.427239323276975,0.685238398402466,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.139345105735987,0.266460876799961,0.185790958889351,0.213999442578605,0.170324716100695,0.171628766745769,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.0562187174267946,0.431629425254623,0.322356654888366,0.417738347637229,0.704845475358019,0.933687794068974,0.129093525179856,82.0023703365253,0.563575000000001,0,0.123093330821643,0.248771077503623,0.16784640224464,0.192239203556699,0.141138873951072,0.103428116325425,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.80804702714063,0.248449395666508,0.0272108401494364
"binding","pi_gap","percentage points","EKF",0.0721150172398103,0.984142028895142,0.806523110986048,0.980144632164144,0.673190932473398,0.942142785709239,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.439842786239709,0.283754714932505,0.278308186346623,0.0354910928695545,0.162204546337658,0.0920155432892484,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.0476635604675348,0.978575483328877,0.802474654209155,0.985649724279009,0.682038200377658,0.937304714787328,0.129093525179856,82.0023703365253,0.563575000000001,0,0.437860630673236,0.278473890530752,0.274330888135271,0.0333829218900588,0.157216251350235,0.118185098205852,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.994343757910112,-0.0048380709219108,0.0272108401494364
"binding","pi_star","percentage points","EKF",0.0275433644898347,0.184666595279787,0.144248115025784,0.167981824385122,0.647810621297568,0.934169174318893,0.129093525179856,81.9751594963758,0.0711199999999997,0,0.140518805500594,0.127617985388467,0.116618648082404,0.122892833467133,0.153357634596039,0.0696863093564984,0.173159337826291,0.591278887833595,0.0059710861111464,0,"UKF",0.0110803661743425,0.181166960856956,0.14143045679528,0.170398264179555,0.664812397568579,0.94818267511292,0.129093525179856,82.0023703365253,0.563575000000001,0,0.136541389208476,0.12430625179576,0.11153346298786,0.127750508818722,0.149736347741042,0.0620388063174975,0.173159337826291,0.612345704318629,0.0416542887812196,0,0.981048903741747,0.0140135007940273,0.0272108401494364
